Country,State,Location,Activity,Date,Year,Type,Month,Sex,Age,Injury_Category,Time,Species,Fatal Y/N
Australia,Queensland,1770,Snorkeling,08 dec-2023,2023,Unprovoked,December,M,20.0,Severe injury,16:32,Other/Unknown,N
Bahamas,New Providence   Isoad,Sandals Resort,Paddle boarding,04 dec-2023,2023,Unprovoked,December,F,44.0,Fatal,11:00,Other/Unknown,Y
Mexico,Jalisco,San Patricio Melaque,Swimming,02 dec-2023,2023,Unprovoked,December,F,26.0,Fatal,No time specified,Other/Unknown,Y
Australia,Queensland,Clack Island,Swimming,30 nov-2023,2023,Unprovoked,November,M,21.0,Injury,11:30,Bull Shark,N
Bahamas,Grand  Bahama Island,Tiger Beach,Scuba diving,21 nov-2023,2023,Unprovoked,November,F,47.0,Fatal,10:30,Other/Unknown,Y
Australia,South Australia,Port Noarlunga,Free diving,10 nov-2023,2023,Unprovoked,November,F,32.0,Injury,13:20,Other/Unknown,N
Usa,Florida,"Juno Beach, Palm Beach County",Swimming,05 nov-2023,2023,Unprovoked,November,M,66.0,Injury,10:30,Other/Unknown,N
Australia,Westerm Australia,Peak Island,Spearfishing,03 nov-2023,2023,Unprovoked,November,M,,Minor injury,14:00,Lemon Shark,N
New Zealand,North Island,Cape Pallister,Free diving,02 nov-2023,2023,Unprovoked,November,M,,Minor injury,09:00,White Shark,N
Egypt,Southern Red Sea,Fury Shoal,Scuba diving,reported 02 nov-2023,2023,Questionable,November,M,66.0,No injury,No time specified,White Shark,N
Australia,South Australia,Streaky Bay,Surfing,31 oct-2023,2023,Unprovoked,October,M,55.0,Fatal,10:20,White Shark,Y
Usa,Hawaii,"Pua’Ena Point,  Haleiwa, Oahu",Surfing,25 oct 2023,2023,Unprovoked,October,M,30.0,Injury,15:05,Tiger Shark,N
